📝  Daily Post Generator — 365 Ready Posts,,,,,,,,,,,,,
हर दिन का static/carousel/story post: headline + body + layout + CTA + hashtags + image prompt ref,,,,,,,,,,,,,
Day,Date,Format,Pattern,Headline (Hindi),Body Copy (Hindi),Layout / Slides,CTA,Hashtags (5),Image Prompt Type,Best Time,,,
194,17-12-2026,Infographic,Crop Emergency Alert,🚨 केला किसान alert: यह लक्षण दिखे तो देर मत करना,"Crop Emergency Alert — केला: किसान भाइयों, सरकारी योजना की जानकारी नहीं का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",4-step vertical flow + top title + bottom CTA,अपने इलाके के buyers देखो — अभी connect करो,#Banana #Kisan #FasalRog #AgroManch #IndianFarmer,Infographic,09:30 AM,,,
195,18-12-2026,Engagement Post,Crop Emergency Alert,पड़ोसी की अनार चौपट हो गई — आपकी कैसे बचेगी?,"Crop Emergency Alert — अनार: किसान भाइयों, बाज़ार भाव की जानकारी नहीं का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",सवाल + relatable image + 'comment करो' prompt,रोज़ की मंडी update WhatsApp पर पाओ — join करो,#Pomegranate #Kisan #FasalRog #AgroManch #IndianFarmer,Poster,08:00 PM,,,
196,19-12-2026,Carousel (6-8 slides),Farmer Success Story,500 किसानों ने यह किया — नतीजा देखकर चौंक जाओगे,"Farmer Success Story — Dragon Fruit: किसान भाइयों, मंडी में कम भाव का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Slide1 hook → Slide2-6 value points → Slide7 proof → Slide8 CTA,share करो ताकि हर किसान तक पहुँचे 🙏,#DragonFruit #Kisan #Kheti #AgroManch #IndianFarmer,Carousel Cover,12:00 PM,,,
197,20-12-2026,Static Poster,Farmer Success Story,'पहले डर था online बेचने का — आज स्ट्रॉबेरी से खुशी है',"Farmer Success Story — स्ट्रॉबेरी: किसान भाइयों, बिचौलियों की लूट का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",बड़ा headline + 1 आँकड़ा + किसान image + CTA bar,हर हफ्ते नया feature — App update रखो,#Strawberry #Kisan #Kheti #AgroManch #IndianFarmer,Poster,07:00 PM,,,
198,21-12-2026,Story (3-4 slides),Farmer Success Story,पश्चिम बंगाल के इस किसान की कहानी आपको रुला देगी,"Farmer Success Story — मशरूम: किसान भाइयों, payment में देरी का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Poll → result tease → value → swipe-up CTA,"AgroManch पर बेचो, बेहतर margin पाओ 💰",#Mushroom #Kisan #Kheti #AgroManch #IndianFarmer,Story graphic,06:00 PM,,,
199,22-12-2026,Infographic,Farmer Success Story,कर्ज़ में डूबा किसान — सब्ज़ी ने ज़िंदगी बदल दी,"Farmer Success Story — सब्ज़ी: किसान भाइयों, फसल में रोग/कीट का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",4-step vertical flow + top title + bottom CTA,नीचे link पर tap करो और AgroManch पाओ 📲,#Vegetables #Kisan #Kheti #AgroManch #IndianFarmer,Infographic,09:30 AM,,,
200,23-12-2026,Engagement Post,Machinery Pride,पुराना तरीका भूल जाओ — भिंडी के लिए यह मशीन,"Machinery Pride — भिंडी: किसान भाइयों, मौसम का नुकसान का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",सवाल + relatable image + 'comment करो' prompt,"एक बार register, ज़िंदगी भर फायदा — अभी करो",#Okra #Kisan #Kheti #AgroManch #IndianFarmer,Poster,08:00 PM,,,
201,24-12-2026,Carousel (6-8 slides),Machinery Pride,subsidy पर मिलती है यह मशीन — बैंगन किसान ध्यान दो,"Machinery Pride — बैंगन: किसान भाइयों, भंडारण की समस्या का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Slide1 hook → Slide2-6 value points → Slide7 proof → Slide8 CTA,अभी फसल list करो — पहली sale आज ही 📲,#Brinjal #Kisan #Kheti #AgroManch #IndianFarmer,Carousel Cover,12:00 PM,,,
202,25-12-2026,Static Poster,Scheme Bomb,KCC (Kisan Credit Card) + फूलगोभी = डबल फायदा। पूरी जानकारी यहाँ,"Scheme Bomb — फूलगोभी: किसान भाइयों, transport खर्च का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",बड़ा headline + 1 आँकड़ा + किसान image + CTA bar,अपने इलाके के buyers देखो — अभी connect करो,#Cauliflower #Kisan #SarkariYojana #AgroManch #IndianFarmer,Poster,07:00 PM,,,
203,26-12-2026,Story (3-4 slides),Scheme Bomb,"🚨 PM-KUSUM सोलर — किस्त आ रही है, status अभी check करो!","Scheme Bomb — मटर: किसान भाइयों, quality grading का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Poll → result tease → value → swipe-up CTA,रोज़ की मंडी update WhatsApp पर पाओ — join करो,#Peas #Kisan #SarkariYojana #AgroManch #IndianFarmer,Story graphic,06:00 PM,,,
204,27-12-2026,Infographic,Scheme Bomb,e-NAM में ₹__ सीधे खाते में — eligibility देखो,"Scheme Bomb — अरहर: किसान भाइयों, सही buyer नहीं मिलता का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",4-step vertical flow + top title + bottom CTA,share करो ताकि हर किसान तक पहुँचे 🙏,#Arhar #Kisan #SarkariYojana #AgroManch #IndianFarmer,Infographic,09:30 AM,,,
205,28-12-2026,Engagement Post,Scheme Bomb,90% किसान Soil Health Card का पैसा छोड़ देते हैं — आप मत छोड़ना,"Scheme Bomb — मूंगफली: किसान भाइयों, कर्ज़ का बोझ का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",सवाल + relatable image + 'comment करो' prompt,हर हफ्ते नया feature — App update रखो,#Groundnut #Kisan #SarkariYojana #AgroManch #IndianFarmer,Poster,08:00 PM,,,
206,29-12-2026,Carousel (6-8 slides),Jugaad Hack,यह देसी नुस्खा गेहूं के कीट भगा देता है — ₹0 खर्च,"Jugaad Hack — गेहूं: किसान भाइयों, नकली बीज/खाद का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Slide1 hook → Slide2-6 value points → Slide7 proof → Slide8 CTA,"AgroManch पर बेचो, बेहतर margin पाओ 💰",#Wheat #Kisan #FarmingHacks #AgroManch #IndianFarmer,Carousel Cover,12:00 PM,,,
207,30-12-2026,Static Poster,Jugaad Hack,धान में पानी बचाने का यह जुगाड़ viral हो रहा है,"Jugaad Hack — धान: किसान भाइयों, पानी की कमी का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",बड़ा headline + 1 आँकड़ा + किसान image + CTA bar,नीचे link पर tap करो और AgroManch पाओ 📲,#Paddy #Kisan #FarmingHacks #AgroManch #IndianFarmer,Poster,07:00 PM,,,
208,31-12-2026,Story (3-4 slides),Before / After,"पहले ₹__, अब ₹__ — मक्का में क्या बदला?","Before / After — मक्का: किसान भाइयों, मजदूरों की कमी का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Poll → result tease → value → swipe-up CTA,"एक बार register, ज़िंदगी भर फायदा — अभी करो",#Maize #Kisan #Kheti #AgroManch #IndianFarmer,Story graphic,06:00 PM,,,
209,01-01-2027,Infographic,Before / After,सोयाबीन खेत: पहले बनाम बाद — यकीन नहीं होगा,"Before / After — सोयाबीन: किसान भाइयों, सरकारी योजना की जानकारी नहीं का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",4-step vertical flow + top title + bottom CTA,अभी फसल list करो — पहली sale आज ही 📲,#Soybean #Kisan #Kheti #AgroManch #IndianFarmer,Infographic,09:30 AM,,,
210,02-01-2027,Engagement Post,Mahila Kisan,घूँघट से ट्रैक्टर तक — इस महिला किसान को सलाम,"Mahila Kisan — कपास: किसान भाइयों, बाज़ार भाव की जानकारी नहीं का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",सवाल + relatable image + 'comment करो' prompt,अपने इलाके के buyers देखो — अभी connect करो,#Cotton #Kisan #MahilaKisan #AgroManch #IndianFarmer,Poster,08:00 PM,,,
211,03-01-2027,Carousel (6-8 slides),Mahila Kisan,"पति बाहर, उसने गन्ना से घर चलाया — कैसे?","Mahila Kisan — गन्ना: किसान भाइयों, मंडी में कम भाव का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Slide1 hook → Slide2-6 value points → Slide7 proof → Slide8 CTA,रोज़ की मंडी update WhatsApp पर पाओ — join करो,#Sugarcane #Kisan #MahilaKisan #AgroManch #IndianFarmer,Carousel Cover,12:00 PM,,,
212,04-01-2027,Static Poster,Mahila Kisan,गाँव की महिलाओं ने टमाटर से बदली किस्मत,"Mahila Kisan — टमाटर: किसान भाइयों, बिचौलियों की लूट का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",बड़ा headline + 1 आँकड़ा + किसान image + CTA bar,share करो ताकि हर किसान तक पहुँचे 🙏,#Tomato #Kisan #MahilaKisan #AgroManch #IndianFarmer,Poster,07:00 PM,,,
213,05-01-2027,Story (3-4 slides),Mahila Kisan,महिला किसान + AgroManch = ₹__ सालाना income,"Mahila Kisan — प्याज: किसान भाइयों, payment में देरी का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Poll → result tease → value → swipe-up CTA,हर हफ्ते नया feature — App update रखो,#Onion #Kisan #MahilaKisan #AgroManch #IndianFarmer,Story graphic,06:00 PM,,,
214,06-01-2027,Infographic,Weather Emergency,IMD alert: राजस्थान के आलू किसान सावधान,"Weather Emergency — आलू: किसान भाइयों, फसल में रोग/कीट का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",4-step vertical flow + top title + bottom CTA,"AgroManch पर बेचो, बेहतर margin पाओ 💰",#Potato #Kisan #MausamAlert #AgroManch #IndianFarmer,Infographic,09:30 AM,,,
215,07-01-2027,Engagement Post,Weather Emergency,🚨 हरियाणा Alert: 72 घंटे में मौसम — मिर्च बचाओ!,"Weather Emergency — मिर्च: किसान भाइयों, मौसम का नुकसान का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",सवाल + relatable image + 'comment करो' prompt,नीचे link पर tap करो और AgroManch पाओ 📲,#Chilli #Kisan #MausamAlert #AgroManch #IndianFarmer,Poster,08:00 PM,,,
216,08-01-2027,Carousel (6-8 slides),Weather Emergency,बारिश से पहले सरसों में यह करना ज़रूरी है,"Weather Emergency — सरसों: किसान भाइयों, भंडारण की समस्या का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Slide1 hook → Slide2-6 value points → Slide7 proof → Slide8 CTA,"एक बार register, ज़िंदगी भर फायदा — अभी करो",#Mustard #Kisan #MausamAlert #AgroManch #IndianFarmer,Carousel Cover,12:00 PM,,,
217,09-01-2027,Static Poster,Weather Emergency,ओलावृष्टि का खतरा — चना किसान तुरंत यह करो,"Weather Emergency — चना: किसान भाइयों, transport खर्च का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",बड़ा headline + 1 आँकड़ा + किसान image + CTA bar,अभी फसल list करो — पहली sale आज ही 📲,#Gram #Kisan #MausamAlert #AgroManch #IndianFarmer,Poster,07:00 PM,,,
218,10-01-2027,Story (3-4 slides),Myth Buster,मूंग में यह मिथक आपका नुकसान करा रहा है,"Myth Buster — मूंग: किसान भाइयों, quality grading का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Poll → result tease → value → swipe-up CTA,अपने इलाके के buyers देखो — अभी connect करो,#Moong #Kisan #Kheti #AgroManch #IndianFarmer,Story graphic,06:00 PM,,,
219,11-01-2027,Infographic,Profit Calculator,"₹__ लगाओ, ₹__ कमाओ — बाजरा का सच्चा हिसाब","Profit Calculator — बाजरा: किसान भाइयों, सही buyer नहीं मिलता का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",4-step vertical flow + top title + bottom CTA,रोज़ की मंडी update WhatsApp पर पाओ — join करो,#Bajra #Kisan #KhetiProfit #AgroManch #IndianFarmer,Infographic,09:30 AM,,,
220,12-01-2027,Engagement Post,Profit Calculator,AgroManch calculator से ज्वार का मुनाफा निकालो,"Profit Calculator — ज्वार: किसान भाइयों, कर्ज़ का बोझ का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",सवाल + relatable image + 'comment करो' prompt,share करो ताकि हर किसान तक पहुँचे 🙏,#Jowar #Kisan #KhetiProfit #AgroManch #IndianFarmer,Poster,08:00 PM,,,
221,13-01-2027,Carousel (6-8 slides),Profit Calculator,हल्दी में 1 एकड़ = कितना मुनाफा? पूरा हिसाब,"Profit Calculator — हल्दी: किसान भाइयों, नकली बीज/खाद का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Slide1 hook → Slide2-6 value points → Slide7 proof → Slide8 CTA,हर हफ्ते नया feature — App update रखो,#Turmeric #Kisan #KhetiProfit #AgroManch #IndianFarmer,Carousel Cover,12:00 PM,,,
222,14-01-2027,Static Poster,Profit Calculator,"लागत ₹__, कमाई ₹__ — अदरक का गणित समझो","Profit Calculator — अदरक: किसान भाइयों, पानी की कमी का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",बड़ा headline + 1 आँकड़ा + किसान image + CTA bar,"AgroManch पर बेचो, बेहतर margin पाओ 💰",#Ginger #Kisan #KhetiProfit #AgroManch #IndianFarmer,Poster,07:00 PM,,,
223,15-01-2027,Story (3-4 slides),Field Interview,'मैं बताता हूँ लहसुन में असली दिक्कत क्या है',"Field Interview — लहसुन: किसान भाइयों, मजदूरों की कमी का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Poll → result tease → value → swipe-up CTA,नीचे link पर tap करो और AgroManch पाओ 📲,#Garlic #Kisan #Kheti #AgroManch #IndianFarmer,Story graphic,06:00 PM,,,
224,16-01-2027,Infographic,Field Interview,गाँव-गाँव घूमकर पूछा — केला पर किसानों का जवाब,"Field Interview — केला: किसान भाइयों, सरकारी योजना की जानकारी नहीं का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",4-step vertical flow + top title + bottom CTA,"एक बार register, ज़िंदगी भर फायदा — अभी करो",#Banana #Kisan #Kheti #AgroManch #IndianFarmer,Infographic,09:30 AM,,,
225,17-01-2027,Engagement Post,Old vs New,10 साल पहले vs आज — अनार किसान की ज़िंदगी,"Old vs New — अनार: किसान भाइयों, बाज़ार भाव की जानकारी नहीं का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",सवाल + relatable image + 'comment करो' prompt,अभी फसल list करो — पहली sale आज ही 📲,#Pomegranate #Kisan #Kheti #AgroManch #IndianFarmer,Poster,08:00 PM,,,
226,18-01-2027,Carousel (6-8 slides),Old vs New,मंडी का इंतज़ार बनाम App पर बिक्री — Dragon Fruit देखो,"Old vs New — Dragon Fruit: किसान भाइयों, मंडी में कम भाव का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Slide1 hook → Slide2-6 value points → Slide7 proof → Slide8 CTA,अपने इलाके के buyers देखो — अभी connect करो,#DragonFruit #Kisan #Kheti #AgroManch #IndianFarmer,Carousel Cover,12:00 PM,,,
227,19-01-2027,Static Poster,Hidden Crop,यह फसल ₹__/kg बिकती है — कोई कर्नाटक में नहीं उगाता क्यों?,"Hidden Crop — स्ट्रॉबेरी: किसान भाइयों, बिचौलियों की लूट का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",बड़ा headline + 1 आँकड़ा + किसान image + CTA bar,रोज़ की मंडी update WhatsApp पर पाओ — join करो,#Strawberry #Kisan #ProfitableFarming #AgroManch #IndianFarmer,Poster,07:00 PM,,,
228,20-01-2027,Story (3-4 slides),Hidden Crop,मशरूम छोड़ो — यह फसल 3 गुना कमाई देती है,"Hidden Crop — मशरूम: किसान भाइयों, payment में देरी का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Poll → result tease → value → swipe-up CTA,share करो ताकि हर किसान तक पहुँचे 🙏,#Mushroom #Kisan #ProfitableFarming #AgroManch #IndianFarmer,Story graphic,06:00 PM,,,
229,21-01-2027,Infographic,Hidden Crop,विदेश में इस फसल की भारी मांग — आप क्यों चूक रहे?,"Hidden Crop — सब्ज़ी: किसान भाइयों, फसल में रोग/कीट का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",4-step vertical flow + top title + bottom CTA,हर हफ्ते नया feature — App update रखो,#Vegetables #Kisan #ProfitableFarming #AgroManch #IndianFarmer,Infographic,09:30 AM,,,
230,22-01-2027,Engagement Post,Hidden Crop,"कम पानी, ज़्यादा दाम — यह छुपी फसल जानो","Hidden Crop — भिंडी: किसान भाइयों, मौसम का नुकसान का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",सवाल + relatable image + 'comment करो' prompt,"AgroManch पर बेचो, बेहतर margin पाओ 💰",#Okra #Kisan #ProfitableFarming #AgroManch #IndianFarmer,Poster,08:00 PM,,,
231,23-01-2027,Carousel (6-8 slides),Tech Tutorial,5 मिनट में बैंगन बेचना सीखो — बिना confusion,"Tech Tutorial — बैंगन: किसान भाइयों, भंडारण की समस्या का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Slide1 hook → Slide2-6 value points → Slide7 proof → Slide8 CTA,नीचे link पर tap करो और AgroManch पाओ 📲,#Brinjal #Kisan #DigitalKisan #AgroManch #IndianFarmer,Carousel Cover,12:00 PM,,,
232,24-01-2027,Static Poster,Tech Tutorial,AgroManch के यह 5 features फूलगोभी किसान ज़रूर use करें,"Tech Tutorial — फूलगोभी: किसान भाइयों, transport खर्च का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",बड़ा headline + 1 आँकड़ा + किसान image + CTA bar,"एक बार register, ज़िंदगी भर फायदा — अभी करो",#Cauliflower #Kisan #DigitalKisan #AgroManch #IndianFarmer,Poster,07:00 PM,,,
233,25-01-2027,Story (3-4 slides),Tech Tutorial,AgroManch पर मटर list करो — 5 मिनट tutorial,"Tech Tutorial — मटर: किसान भाइयों, quality grading का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Poll → result tease → value → swipe-up CTA,अभी फसल list करो — पहली sale आज ही 📲,#Peas #Kisan #DigitalKisan #AgroManch #IndianFarmer,Story graphic,06:00 PM,,,
234,26-01-2027,Infographic,Tech Tutorial,पहली बार App इस्तेमाल कर रहे? यह देखो — आसान है,"Tech Tutorial — अरहर: किसान भाइयों, सही buyer नहीं मिलता का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",4-step vertical flow + top title + bottom CTA,अपने इलाके के buyers देखो — अभी connect करो,#Arhar #Kisan #DigitalKisan #AgroManch #IndianFarmer,Infographic,09:30 AM,,,
235,27-01-2027,Engagement Post,Award / Recognition,सरकार ने सम्मानित किया — यह किसान कौन है?,"Award / Recognition — मूंगफली: किसान भाइयों, कर्ज़ का बोझ का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",सवाल + relatable image + 'comment करो' prompt,रोज़ की मंडी update WhatsApp पर पाओ — join करो,#Groundnut #Kisan #Kheti #AgroManch #IndianFarmer,Poster,08:00 PM,,,
236,28-01-2027,Carousel (6-8 slides),Regional Language,गुजरात के किसानों के लिए अवधी में खास video,"Regional Language — गेहूं: किसान भाइयों, नकली बीज/खाद का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Slide1 hook → Slide2-6 value points → Slide7 proof → Slide8 CTA,share करो ताकि हर किसान तक पहुँचे 🙏,#Wheat #Kisan #Bhojpuri #AgroManch #IndianFarmer,Carousel Cover,12:00 PM,,,
237,29-01-2027,Static Poster,Regional Language,राजस्थानी बोलने वाले किसान यह ज़रूर देखें,"Regional Language — धान: किसान भाइयों, पानी की कमी का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",बड़ा headline + 1 आँकड़ा + किसान image + CTA bar,हर हफ्ते नया feature — App update रखो,#Paddy #Kisan #Bhojpuri #AgroManch #IndianFarmer,Poster,07:00 PM,,,
238,30-01-2027,Story (3-4 slides),Regional Language,घर जैसी भाषा में मक्का का गुर — गुजराती में,"Regional Language — मक्का: किसान भाइयों, मजदूरों की कमी का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Poll → result tease → value → swipe-up CTA,"AgroManch पर बेचो, बेहतर margin पाओ 💰",#Maize #Kisan #Bhojpuri #AgroManch #IndianFarmer,Story graphic,06:00 PM,,,
239,31-01-2027,Infographic,Regional Language,किसान भाई — आज कन्नड़ में सोयाबीन की बात,"Regional Language — सोयाबीन: किसान भाइयों, सरकारी योजना की जानकारी नहीं का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",4-step vertical flow + top title + bottom CTA,नीचे link पर tap करो और AgroManch पाओ 📲,#Soybean #Kisan #Bhojpuri #AgroManch #IndianFarmer,Infographic,09:30 AM,,,
240,01-02-2027,Engagement Post,Community Debate,आप किससे बेचते हो कपास? Comment में बताओ,"Community Debate — कपास: किसान भाइयों, बाज़ार भाव की जानकारी नहीं का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",सवाल + relatable image + 'comment करो' prompt,"एक बार register, ज़िंदगी भर फायदा — अभी करो",#Cotton #Kisan #Kheti #AgroManch #IndianFarmer,Poster,08:00 PM,,,
241,02-02-2027,Carousel (6-8 slides),Community Debate,गन्ना की सबसे बड़ी दिक्कत क्या है? खुलकर लिखो,"Community Debate — गन्ना: किसान भाइयों, मंडी में कम भाव का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Slide1 hook → Slide2-6 value points → Slide7 proof → Slide8 CTA,अभी फसल list करो — पहली sale आज ही 📲,#Sugarcane #Kisan #Kheti #AgroManch #IndianFarmer,Carousel Cover,12:00 PM,,,
242,03-02-2027,Static Poster,Seasonal Countdown,__ दिन में टमाटर का सीज़न — यह checklist देखो,"Seasonal Countdown — टमाटर: किसान भाइयों, बिचौलियों की लूट का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",बड़ा headline + 1 आँकड़ा + किसान image + CTA bar,अपने इलाके के buyers देखो — अभी connect करो,#Tomato #Kisan #Kheti #AgroManch #IndianFarmer,Poster,07:00 PM,,,
243,04-02-2027,Story (3-4 slides),Seasonal Countdown,त्योहार से पहले प्याज के दाम चढ़ेंगे — तैयार रहो,"Seasonal Countdown — प्याज: किसान भाइयों, payment में देरी का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Poll → result tease → value → swipe-up CTA,रोज़ की मंडी update WhatsApp पर पाओ — join करो,#Onion #Kisan #Kheti #AgroManch #IndianFarmer,Story graphic,06:00 PM,,,
244,05-02-2027,Infographic,Seasonal Countdown,देर मत करो — आलू की सही timing निकल रही है,"Seasonal Countdown — आलू: किसान भाइयों, फसल में रोग/कीट का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",4-step vertical flow + top title + bottom CTA,share करो ताकि हर किसान तक पहुँचे 🙏,#Potato #Kisan #Kheti #AgroManch #IndianFarmer,Infographic,09:30 AM,,,
245,06-02-2027,Engagement Post,Seasonal Countdown,मिर्च बुवाई में बस __ दिन बाकी — तैयारी शुरू!,"Seasonal Countdown — मिर्च: किसान भाइयों, मौसम का नुकसान का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",सवाल + relatable image + 'comment करो' prompt,हर हफ्ते नया feature — App update रखो,#Chilli #Kisan #Kheti #AgroManch #IndianFarmer,Poster,08:00 PM,,,
246,07-02-2027,Carousel (6-8 slides),Profit Reveal,1 एकड़ सरसों = ₹__? यकीन नहीं होगा लेकिन सच है,"Profit Reveal — सरसों: किसान भाइयों, भंडारण की समस्या का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",Slide1 hook → Slide2-6 value points → Slide7 proof → Slide8 CTA,"AgroManch पर बेचो, बेहतर margin पाओ 💰",#Mustard #Kisan #Kheti #AgroManch #IndianFarmer,Carousel Cover,12:00 PM,,,
247,08-02-2027,Static Poster,Profit Reveal,चना बेचकर इस किसान ने नई गाड़ी खरीदी — राज़ क्या है?,"Profit Reveal — चना: किसान भाइयों, transport खर्च का हल AgroManch पर है। सीधे buyer, सही दाम, 72 घंटे में payment। नीचे दिए steps follow करो और आज ही फायदा उठाओ।",बड़ा headline + 1 आँकड़ा + किसान image + CTA bar,नीचे link पर tap करो और AgroManch पाओ 📲,#Gram #Kisan #Kheti #AgroManch #IndianFarmer,Poster,07:00 PM,,,
